season,round,race,driver,team,grid_position,position,positions_gained,points,winner,podium,finished_race,dnf_flag,status
2026,1,Australian Grand Prix,RUS,Mercedes,1.0,1.0,0.0,25.0,1,1,1,0,finished
2026,1,Australian Grand Prix,ANT,Mercedes,2.0,2.0,0.0,18.0,0,1,1,0,finished
2026,1,Australian Grand Prix,LEC,Ferrari,4.0,3.0,1.0,15.0,0,1,1,0,finished
2026,1,Australian Grand Prix,HAM,Ferrari,7.0,4.0,3.0,12.0,0,0,1,0,finished
2026,1,Australian Grand Prix,NOR,McLaren,6.0,5.0,1.0,10.0,0,0,1,0,finished
2026,1,Australian Grand Prix,VER,Red Bull Racing,20.0,6.0,14.0,8.0,0,0,1,0,finished
2026,1,Australian Grand Prix,BEA,Haas F1 Team,12.0,7.0,5.0,6.0,0,0,1,0,lapped
2026,1,Australian Grand Prix,LIN,RB F1 Team,9.0,8.0,1.0,4.0,0,0,1,0,lapped
2026,1,Australian Grand Prix,BOR,Audi,10.0,9.0,1.0,2.0,0,0,1,0,lapped
2026,1,Australian Grand Prix,GAS,Alpine F1 Team,14.0,10.0,4.0,1.0,0,0,1,0,lapped
2026,1,Australian Grand Prix,OCO,Haas F1 Team,13.0,11.0,2.0,0.0,0,0,1,0,lapped
2026,1,Australian Grand Prix,ALB,Williams,15.0,12.0,3.0,0.0,0,0,1,0,lapped
2026,1,Australian Grand Prix,LAW,RB F1 Team,8.0,13.0,-5.0,0.0,0,0,1,0,lapped
2026,1,Australian Grand Prix,COL,Alpine F1 Team,16.0,14.0,2.0,0.0,0,0,1,0,lapped
2026,1,Australian Grand Prix,SAI,Williams,21.0,15.0,6.0,0.0,0,0,1,0,lapped
2026,1,Australian Grand Prix,PER,Cadillac F1 Team,18.0,16.0,2.0,0.0,0,0,1,0,lapped
2026,1,Australian Grand Prix,STR,Aston Martin,22.0,17.0,5.0,0.0,0,0,1,0,lapped
2026,1,Australian Grand Prix,ALO,Aston Martin,17.0,,,0.0,0,0,0,1,retired
2026,1,Australian Grand Prix,BOT,Cadillac F1 Team,19.0,,,0.0,0,0,0,1,retired
2026,1,Australian Grand Prix,HAD,Red Bull Racing,3.0,,,0.0,0,0,0,1,retired
2026,1,Australian Grand Prix,PIA,McLaren,5.0,,,0.0,0,0,0,1,did not start
2026,1,Australian Grand Prix,HUL,Audi,11.0,,,0.0,0,0,0,1,did not start
2026,8,Austrian Grand Prix,RUS,Mercedes,1.0,1.0,0.0,25.0,1,1,1,0,finished
2026,8,Austrian Grand Prix,VER,Red Bull Racing,5.0,2.0,3.0,18.0,0,1,1,0,finished
2026,8,Austrian Grand Prix,ANT,Mercedes,4.0,3.0,1.0,15.0,0,1,1,0,finished
2026,8,Austrian Grand Prix,PIA,McLaren,7.0,4.0,3.0,12.0,0,0,1,0,finished
2026,8,Austrian Grand Prix,HAM,Ferrari,3.0,5.0,-2.0,10.0,0,0,1,0,finished
2026,8,Austrian Grand Prix,HAD,Red Bull Racing,8.0,6.0,2.0,8.0,0,0,1,0,finished
2026,8,Austrian Grand Prix,NOR,McLaren,6.0,7.0,-1.0,6.0,0,0,1,0,finished
2026,8,Austrian Grand Prix,LEC,Ferrari,2.0,8.0,-6.0,4.0,0,0,1,0,finished
2026,8,Austrian Grand Prix,LAW,RB F1 Team,9.0,9.0,0.0,2.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,LIN,RB F1 Team,10.0,10.0,0.0,1.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,BOR,Audi,12.0,11.0,1.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,HUL,Audi,14.0,12.0,2.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,GAS,Alpine F1 Team,11.0,13.0,-2.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,BEA,Haas F1 Team,13.0,14.0,-1.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,COL,Alpine F1 Team,16.0,15.0,1.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,OCO,Haas F1 Team,15.0,16.0,-1.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,ALB,Williams,18.0,17.0,1.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,ALO,Aston Martin,21.0,18.0,3.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,STR,Aston Martin,22.0,,,0.0,0,0,0,1,retired
2026,8,Austrian Grand Prix,SAI,Williams,17.0,,,0.0,0,0,0,1,retired
2026,8,Austrian Grand Prix,PER,Cadillac F1 Team,19.0,,,0.0,0,0,0,1,retired
2026,8,Austrian Grand Prix,BOT,Cadillac F1 Team,20.0,,,0.0,0,0,0,1,retired
2026,7,Barcelona Grand Prix,HAM,Ferrari,2.0,1.0,1.0,25.0,1,1,1,0,finished
2026,7,Barcelona Grand Prix,RUS,Mercedes,1.0,2.0,-1.0,18.0,0,1,1,0,finished
2026,7,Barcelona Grand Prix,NOR,McLaren,4.0,3.0,1.0,15.0,0,1,1,0,finished
2026,7,Barcelona Grand Prix,VER,Red Bull Racing,5.0,4.0,1.0,12.0,0,0,1,0,finished
2026,7,Barcelona Grand Prix,PIA,McLaren,7.0,5.0,2.0,10.0,0,0,1,0,finished
2026,7,Barcelona Grand Prix,HAD,Red Bull Racing,6.0,6.0,0.0,8.0,0,0,1,0,lapped
2026,7,Barcelona Grand Prix,GAS,Alpine F1 Team,14.0,7.0,7.0,6.0,0,0,1,0,lapped
2026,7,Barcelona Grand Prix,COL,Alpine F1 Team,13.0,8.0,5.0,4.0,0,0,1,0,lapped
2026,7,Barcelona Grand Prix,LAW,RB F1 Team,8.0,9.0,-1.0,2.0,0,0,1,0,lapped
2026,7,Barcelona Grand Prix,LIN,RB F1 Team,11.0,10.0,1.0,1.0,0,0,1,0,lapped
2026,7,Barcelona Grand Prix,BOR,Audi,12.0,11.0,1.0,0.0,0,0,1,0,lapped
2026,7,Barcelona Grand Prix,SAI,Williams,16.0,12.0,4.0,0.0,0,0,1,0,lapped
2026,7,Barcelona Grand Prix,OCO,Haas F1 Team,17.0,13.0,4.0,0.0,0,0,1,0,lapped
2026,7,Barcelona Grand Prix,PER,Cadillac F1 Team,19.0,14.0,5.0,0.0,0,0,1,0,lapped
2026,7,Barcelona Grand Prix,LEC,Ferrari,10.0,,,0.0,0,0,0,1,retired
2026,7,Barcelona Grand Prix,ANT,Mercedes,3.0,,,0.0,0,0,0,1,retired
2026,7,Barcelona Grand Prix,BEA,Haas F1 Team,15.0,,,0.0,0,0,0,1,retired
2026,7,Barcelona Grand Prix,ALB,Williams,18.0,18.0,0.0,0.0,0,0,1,0,lapped
2026,7,Barcelona Grand Prix,ALO,Aston Martin,22.0,,,0.0,0,0,0,1,retired
2026,7,Barcelona Grand Prix,HUL,Audi,9.0,,,0.0,0,0,0,1,retired
2026,7,Barcelona Grand Prix,BOT,Cadillac F1 Team,20.0,,,0.0,0,0,0,1,retired
2026,7,Barcelona Grand Prix,STR,Aston Martin,21.0,,,0.0,0,0,0,1,retired
2026,9,British Grand Prix,LEC,Ferrari,2.0,1.0,1.0,25.0,1,1,1,0,finished
2026,9,British Grand Prix,RUS,Mercedes,4.0,2.0,2.0,18.0,0,1,1,0,finished
2026,9,British Grand Prix,HAM,Ferrari,3.0,3.0,0.0,15.0,0,1,1,0,finished
2026,9,British Grand Prix,NOR,McLaren,6.0,4.0,2.0,12.0,0,0,1,0,finished
2026,9,British Grand Prix,HAD,Red Bull Racing,5.0,5.0,0.0,10.0,0,0,1,0,finished
2026,9,British Grand Prix,LAW,RB F1 Team,10.0,6.0,4.0,8.0,0,0,1,0,finished
2026,9,British Grand Prix,LIN,RB F1 Team,9.0,7.0,2.0,6.0,0,0,1,0,finished
2026,9,British Grand Prix,BOR,Audi,11.0,8.0,3.0,4.0,0,0,1,0,finished
